Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	117.9192	-383.0047	500.9239	0.24634	0.305094	0.312339	0.136228	0.6044959	1.07413	0.06109914	0.2916348
6	119.1161	-382.5619	501.678	0.316777	0.296143	0.170386	0.216694	0.5571157	0.3791593	0.06294199	0.3259282
12	112.3437	-389.1124	501.4562	0.234836	0.478211	0.126311	0.160642	1.37605	0.07910392	0.09729991	0.4207933
18	107.9174	-394.6966	502.6141	0.0260783	0.605741	0.159996	0.208184	0.3334948	0.3775187	0.1860505	0.4554728
24	115.7228	-384.4267	500.1495	0.145864	0.631041	0.0969482	0.126147	1.756026	0.9986159	0.08596649	0.3780548
30	118.6006	-383.8506	502.4512	0.347111	0.4229	0.0632229	0.166766	0.2769197	0.2516619	0.1042836	0.3296586
36	121.3378	-375.7074	497.0453	0.147317	0.177099	0.587153	0.08843	11.48082	0.4584166	0.1207813	0.3702889
42	131.7	-369.7468	501.4468	0.440461	0.11778	0.295004	0.146756	1.661194	0.2217914	0.1568202	0.3978348
48	132.1476	-369.7319	501.8795	0.379552	0.162613	0.1849	0.272935	0.3822079	0.4402532	0.07741843	0.4313882
54	134.0279	-366.3652	500.393	0.389444	0.251552	0.0866695	0.272335	0.5903291	0.498664	0.09384368	1.915084
60	131.5155	-369.0475	500.563	0.69422	0.179429	0.0530115	0.0733389	0.5903291	0.2959633	0.3028751	3.089721
66	130.1538	-370.5047	500.6584	0.350138	0.262191	0.192916	0.194755	0.6001649	0.4947753	0.2712473	2.525704
72	126.9171	-374.9809	501.8981	0.274443	0.340621	0.326567	0.058369	0.1555883	0.1127866	0.2386923	1.549565
78	122.5235	-376.0327	498.5562	0.0552137	0.150738	0.726098	0.0679509	0.1555883	0.01924033	0.2448889	9.034402
84	120.3359	-375.19	495.5259	0.102134	0.278835	0.380014	0.239017	3.141572	0.02863338	0.3966628	12.9162
90	125.5376	-372.5157	498.0533	0.207648	0.219991	0.379953	0.192408	0.7863054	0.319917	0.2255824	8.26433
96	119.3543	-379.2779	498.6322	0.0107137	0.49009	0.265365	0.233831	1.079388	0.7221483	0.101823	3.647735
102	121.5847	-378.8204	500.4051	0.00121003	0.718356	0.0578398	0.222594	2.216138	0.6180597	0.1076933	0.3176396
108	124.1774	-376.1368	500.3142	0.00195774	0.434281	0.0372528	0.526508	0.5911056	0.6435403	0.08168373	1.686295
114	120.508	-377.4673	497.9753	0.005547	0.186044	0.105551	0.702858	2.828218	0.286737	0.2404542	4.285455
120	124.3561	-376.4468	500.8029	0.0596782	0.0816132	0.629733	0.228976	0.497098	0.7634504	0.1638429	1.710106
126	124.3769	-377.6733	502.0502	0.0810582	0.235927	0.500888	0.182127	0.6139142	0.04689509	0.07953234	0.453418
132	125.8181	-375.6629	501.4811	0.242854	0.433534	0.145742	0.177869	0.8603965	0.4021032	0.07738232	0.3741591
138	119.541	-382.411	501.9519	0.410289	0.408736	0.0714321	0.109543	0.3970911	0.0962003	0.1817996	1.335668
144	117.2293	-384.2165	501.4458	0.523602	0.299772	0.0527841	0.123842	0.9205965	0.554819	0.1020634	0.4311656
150	124.0518	-377.5283	501.5802	0.363894	0.444329	0.0233353	0.168441	0.2165595	0.595909	0.05580135	0.3185672
156	123.8185	-378.1873	502.0058	0.423622	0.212549	0.0594376	0.304391	0.3297709	0.3343662	0.07594234	0.43151
162	116.4475	-385.7054	502.1529	0.313975	0.167864	0.292557	0.225605	0.2075498	0.2955939	0.07594234	0.2981096
168	109.52	-392.1854	501.7054	0.344147	0.213057	0.282457	0.160338	0.2075498	0.2815346	0.0454773	0.3184103
174	118.8757	-383.3224	502.1981	0.130875	0.68225	0.0612748	0.1256	0.2525703	0.2977039	0.07855522	0.283203
180	113.9086	-388.2048	502.1133	0.419061	0.366422	0.0402387	0.174278	0.2525703	0.3128591	0.07670393	0.3707825
186	124.1115	-377.9093	502.0208	0.756613	0.0441995	0.0871958	0.111992	0.2525703	0.3609203	0.08009381	0.4637003
192	122.6749	-378.9412	501.616	0.852335	0.0340525	0.0352883	0.0783245	0.6099372	0.7378941	0.1151905	0.5012538
198	111.9769	-389.9181	501.895	0.62764	0.129214	0.0588446	0.184302	1.167039	0.05435158	0.1189445	0.3392418
204	128.3431	-374.4617	502.8048	0.335856	0.177415	0.345632	0.141096	0.4953807	0.1664392	0.216026	0.4252887
210	132.9431	-369.5643	502.5074	0.354122	0.394512	0.138354	0.113012	0.3700615	0.1050922	0.2330004	0.9234547
216	116.2302	-385.9748	502.205	0.525774	0.289664	0.101584	0.0829776	0.7456675	0.3652207	0.1807612	0.4597936
222	130.297	-372.1015	502.3985	0.592218	0.271062	0.043256	0.0934638	0.9165967	0.03182779	0.1714111	0.3770833
228	122.5123	-378.8633	501.3756	0.551584	0.39586	0.0184752	0.0340807	1.734198	0.4405379	0.206089	0.3560931
234	111.604	-389.2817	500.8857	0.768459	0.183595	0.0198081	0.0281378	2.44385	0.3000476	0.206089	0.4804105
240	112.0336	-390.6865	502.7201	0.511551	0.138215	0.329994	0.0202396	0.5097049	0.0723893	0.1555203	0.3737319
246	125.3112	-377.3606	502.6718	0.587184	0.378829	0.0127308	0.021256	0.4498354	0.272035	0.1788467	0.3737319
252	113.1379	-389.0071	502.145	0.452187	0.26707	0.273914	0.00682799	0.7359054	0.4080962	0.3268022	0.7756002
258	122.2373	-379.9503	502.1876	0.832163	0.0736703	0.0617837	0.0323832	0.5822958	0.3798058	0.1517258	0.5191029
264	121.552	-380.2333	501.7853	0.826138	0.0923344	0.050209	0.0313185	0.5768155	0.8018985	0.1548315	0.5191029
270	117.3107	-382.3685	499.6792	0.668631	0.221873	0.0650637	0.0444322	2.73914	0.8361756	0.1815485	0.8640956
276	134.2314	-368.3783	502.6097	0.841355	0.0268526	0.0818713	0.049921	0.6850014	0.2084373	0.2554407	0.4731398
282	129.3735	-370.4779	499.8514	0.720609	0.032963	0.105313	0.141115	4.647991	0.02032558	0.1580539	0.4112668
288	115.845	-383.7551	499.6	0.636869	0.0615647	0.24761	0.0539563	4.647991	0.2199522	0.1492011	0.4247226
294	127.5951	-374.698	502.2931	0.589319	0.0463713	0.205402	0.158907	0.3758422	0.3548521	0.1454602	0.602832
300	131.216	-369.8373	501.0533	0.62908	0.041605	0.18429	0.145025	0.8143961	1.036439	0.09982343	0.4343946
306	123.3101	-378.1424	501.4525	0.607272	0.118113	0.153679	0.120936	0.6125694	0.7914355	0.08689123	0.3702097
312	127.5917	-374.0023	501.594	0.3768	0.593176	0.0046844	0.0253404	1.611624	0.1079811	0.1819254	0.5111327
318	124.3467	-377.5503	501.8971	0.628966	0.32623	0.00699015	0.0378134	0.7968362	0.4164552	0.3106488	0.9270234
324	125.6007	-374.4268	500.0275	0.805554	0.124965	0.0210516	0.0484298	3.882111	0.296006	0.2220185	0.5448559
330	120.969	-380.0487	501.0177	0.512036	0.403023	0.0678931	0.0170484	2.235379	0.2045896	0.1800504	0.5051967
336	116.268	-386.4236	502.6916	0.761755	0.126745	0.0622527	0.0492468	0.3083971	0.4158799	0.2388079	0.4987275
